simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
社会,shèhuì,society,xã hội,noun,4,社会发展。,Phát triển xã hội.
设施,shèshī,facility,thiết bị,noun,4,公共设施。,Thiết bị công cộng.
设计,shèjì,to design,thiết kế,verb,4,设计方案。,Thiết kế phương án.
申请,shēnqǐng,to apply,xin,verb,4,申请签证。,Xin visa.
深入,shēnrù,deep,sâu sắc,adjective,4,深入研究。,Nghiên cứu sâu sắc.
甚至,shènzhì,even,thậm chí,adverb,4,甚至更好。,Thậm chí tốt hơn.
生产,shēngchǎn,to produce,sản xuất,verb,4,生产过程。,Quá trình sản xuất.
生存,shēngcún,to survive,sinh tồn,verb,4,生存环境。,Môi trường sinh tồn.
生意,shēngyi,business,kinh doanh,noun,4,做生意。,Làm kinh doanh.
时代,shídài,era,thời đại,noun,4,新时代。,Thời đại mới.
时刻,shíkè,moment,thời khắc,noun,4,关键时刻。,Thời khắc quan trọng.
实践,shíjiàn,practice,thực tiễn,noun,4,社会实践。,Thực tiễn xã hội.
实现,shíxiàn,to realize,thực hiện,verb,4,实现梦想。,Thực hiện ước mơ.
实验,shíyàn,experiment,thí nghiệm,noun,4,科学实验。,Thí nghiệm khoa học.
实用,shíyòng,practical,thực dụng,adjective,4,实用技术。,Kỹ thuật thực dụng.
食品,shípǐn,food,thực phẩm,noun,4,食品安全。,An toàn thực phẩm.
市场,shìchǎng,market,thị trường,noun,4,市场调查。,Khảo sát thị trường.
事故,shìgù,accident,tai nạn,noun,4,交通事故。,Tai nạn giao thông.
事物,shìwù,thing,sự vật,noun,4,客观事物。,Sự vật khách quan.
是否,shìfǒu,whether,có hay không,adverb,4,是否参加？,Có tham gia không?
适合,shìhé,to suit,phù hợp,verb,4,适合你。,Phù hợp với bạn.
适应,shìyìng,to adapt,thích ứng,verb,4,适应环境。,Thích ứng môi trường.
收获,shōuhuò,harvest,thu hoạch,noun,4,收获很大。,Thu hoạch lớn.
收入,shōurù,income,thu nhập,noun,4,增加收入。,Tăng thu nhập.
